Index	IDFemaleAgingColony	StrainNameCurrent	EarTagNumberCurrent	EarTagNumberOriginal	Sex	DietCode	CauseOfDeath	AgeAtDeath	DateOfBirth	DateOfDeath	DateDietStart
1317	FAC2094	BXD28	2531	2531	F	HF	Natural	828	10.20.2015	01.25.2018	01.15.2016
1318	FAC2095	BXD19	2532	2532	F	HF	Natural	538	10.01.2015	03.22.2017	01.15.2016
1319	FAC2100	BXD29	2538	2538	F	HF	Natural	722	10.20.2015	10.11.2017	01.15.2016
1320	FAC2101	BXD29	2539	2539	F	HF	Natural	757	10.20.2015	11.15.2017	01.15.2016
1321	FAC2109	BXD27	2547	2547	F	HF	Natural	563	01.06.2016	07.22.2017	02.05.2016
1322	FAC2110	BXD27	2548	2548	F	HF	Natural	685	01.06.2016	11.21.2017	02.05.2016
1323	FAC2119	BXD28	2557	2557	F	HF	Natural	367	12.24.2015	12.25.2016	02.05.2016
1324	FAC2120	BXD28	2558	2558	F	HF	Natural	705	12.24.2015	11.28.2017	02.05.2016
1325	FAC2121	BXD28	2559	2559	F	HF	Natural	882	12.24.2015	05.24.2018	02.05.2016
1326	FAC2127	BXD19	2564	2564	F	HF	Natural	635	12.31.2015	09.26.2017	02.12.2016
1327	FAC2135	BXD18	2572	2572	F	HF	Natural	406	01.24.2016	03.05.2017	02.19.2016
1328	FAC2136	BXD77	2573	2573	F	HF	Natural	798	04.01.2016	06.08.2018	05.12.2016
1329	FAC2139	BXD84	2576	2576	F	HF	Natural	543	02.15.2016	08.11.2017	05.12.2016
1330	FAC2142	BXD9	2579	2579	F	HF	Natural	515	02.24.2016	07.23.2017	05.12.2016
1331	FAC2143	BXD9	2580	2580	F	HF	Natural	242	02.24.2016	10.23.2016	05.12.2016
1332	FAC2144	BXD84	2581	2581	F	HF	Natural	378	05.18.2016	05.31.2017	07.01.2016
1333	FAC2161	BXD84	2597	2597	F	HF	Natural	350	06.27.2016	06.12.2017	08.11.2016
1334	FAC2165	BXD170	2601	2601	F	HF	Natural	433	07.08.2016	09.14.2017	08.11.2016
1335	FAC2167	BXD170	2603	2603	F	HF	Natural	432	07.08.2016	09.13.2017	08.11.2016
1336	FAC2170	BXD86	2606	2606	F	HF	Natural	711	06.20.2016	06.01.2018	08.11.2016
1337	FAC2174	BXD101	2610	2610	F	HF	Natural	595	05.30.2016	01.15.2018	08.11.2016
1338	FAC2177	BXD89	2613	2613	F	HF	Natural	739	07.15.2016	07.24.2018	08.11.2016
1339	FAC2180	BXD157	2615	2615	F	HF	Natural	794	08.12.2016	10.15.2018	09.13.2016
1340	FAC2182	BXD161	2618	2618	F	HF	Natural	775	07.27.2016	09.10.2018	09.13.2016
1341	FAC2184	BXD161	2619	2619	F	HF	Natural	674	07.27.2016	06.01.2018	09.13.2016
1342	FAC2186	BXD168	2622	2622	F	HF	Natural	661	07.25.2016	05.17.2018	09.13.2016
1343	FAC2188	BXD168	2623	2623	F	HF	Natural	828	07.21.2016	10.27.2018	09.13.2016
1344	FAC2190	BXD169	2626	2626	F	HF	Natural	485	08.04.2016	12.02.2017	09.13.2016
1345	FAC2194	BXD169	2628	2628	F	HF	Natural	482	08.08.2016	12.03.2017	09.13.2016
1346	FAC2196	BXD171	2632	2632	F	HF	Natural	667	08.03.2016	06.01.2018	09.13.2016
1347	FAC2198	BXD172	2633	2633	F	HF	Natural	795	08.05.2016	10.09.2018	09.13.2016
1348	FAC2200	BXD186	2636	2636	F	HF	Natural	781	08.04.2016	09.24.2018	09.13.2016
1349	FAC2202	BXD186	2637	2637	F	HF	Natural	708	08.08.2016	07.17.2018	09.13.2016
1350	FAC2207	BXD86	2642	2642	F	HF	Natural	729	08.01.2016	07.31.2018	09.13.2016
1351	FAC2227	BXD84	2660	2660	F	HF	Natural	620	11.04.2016	07.17.2018	12.13.2016
1352	FAC2228	BXD84	2661	2661	F	HF	Natural	663	08.27.2016	06.21.2018	12.13.2016
1353	FAC2229	BXD84	2662	2662	F	HF	Natural	611	08.27.2016	04.30.2018	12.13.2016
1354	FAC2240	BXD170	2671	2671	F	HF	Natural	284	11.30.2016	09.10.2017	02.24.2017
1355	FAC2245	BXD16	2676	2676	F	HF	Natural	655	01.06.2017	10.23.2018	02.24.2017
1356	FAC2247	BXD16	2678	2678	F	HF	Natural	654	01.16.2017	11.01.2018	02.24.2017
1357	FAC2312	BXD187	2742	2742	F	HF	Natural	176	11.28.2017	05.23.2018	02.23.2018
1358	FAC2399	BXD14	2829	2829	F	HF	Natural	108	04.14.2018	07.31.2018	07.23.2018
1359	FAC2405	BXD5	2835	2835	F	HF	Natural	118	05.10.2018	09.05.2018	07.23.2018
