EarTagNumberOriginal,EarTagNumberCurrent,IDCase,StrainNameCurrent,DietCode,Sex,DateOfBirth,DateOfDeath,CauseOfDeath,AgeAtDeath,WeightBody,WeightSubcutaneousWat,WeightPerirenalWat,WeightPerigonadalWat,Subq Adiposity,Visceral Fat Mass,Visceral Adiposity,Total Fat Mass,Total Adiposity
459,459,051012.02,BXD65,HF,F,09/23/2011,05/10/2012,Harvest,230,42.96,0.789,0.218,1.95,1.837,2.168,5.047,2.957,6.883
1093,1093,101613.19,BXD90,HF,F,03/12/2013,10/16/2013,Harvest,218,42.16,2.386,1.387,2.757,5.659,4.144,9.829,6.530,15.489
1094,1094,101613.20,BXD90,HF,F,03/12/2013,10/16/2013,Harvest,218,36.36,2.025,1.49,2.391,5.569,3.881,10.674,5.906,16.243
474,474,050912.11,BXD63,HF,F,10/06/2011,05/09/2012,Harvest,216,33.401,0.585,0.363,1.07,1.751,1.433,4.290,2.018,6.042
475,475,050912.12,BXD63,HF,F,10/06/2011,05/09/2012,Harvest,216,34.96,0.751,0.411,0.765,2.148,1.176,3.364,1.927,5.512
1225,1302,101713.15,B6D2F1,HF,F,03/15/2013,10/17/2013,Harvest,216,43.59,1.602,1.501,4.232,3.675,5.733,13.152,7.335,16.827
1226,1295,101713.16,B6D2F1,HF,F,03/15/2013,10/17/2013,Harvest,216,34.72,0.836,0.843,2.54,2.408,3.383,9.744,4.219,12.151
1149,1149,101713.19,D2B6F1,HF,F,03/17/2013,10/17/2013,Harvest,214,56.73,1.976,1.762,5.59,3.483,7.352,12.960,9.328,16.443
1150,1150,101713.20,D2B6F1,HF,F,03/17/2013,10/17/2013,Harvest,214,58.36,1.771,2.567,5.83,3.035,8.397,14.388,10.168,17.423
1275,1275,101613.21,BXD95,HF,F,03/17/2013,10/16/2013,Harvest,213,41.1,1.567,1.411,2.14,3.813,3.551,8.640,5.118,12.453
1276,1276,101613.22,BXD95,HF,F,03/17/2013,10/16/2013,Harvest,213,43.35,1.505,1.736,3.73,3.472,5.466,12.609,6.971,16.081
1144,1144,101713.11,DBA/2J,HF,F,03/19/2013,10/17/2013,Harvest,212,38.91,1.425,1.003,3.48,3.662,4.483,11.521,5.908,15.184
1145,1145,101713.12,DBA/2J,HF,F,03/19/2013,10/17/2013,Harvest,212,37.29,1.253,1.055,3.151,3.360,4.206,11.279,5.459,14.639
1181,1181,101513.11,BXD51,HF,F,03/18/2013,10/15/2013,Harvest,211,37.65,0.81,1.259,3.106,2.151,4.365,11.594,5.175,13.745
1182,1182,101513.12,BXD51,HF,F,03/18/2013,10/15/2013,Harvest,211,31.97,0.656,2.2,1.398,2.052,3.598,11.254,4.254,13.306
1087,1087,101613.09,BXD69,HF,F,03/20/2013,10/16/2013,Harvest,210,42.13,1.266,1.664,3.422,3.005,5.086,12.072,6.352,15.077
1088,1281,101613.10,BXD69,HF,F,03/20/2013,10/16/2013,Harvest,210,42.33,0.948,1.15,3.44,2.240,4.59,10.843,5.538,13.083
1260,1293,101713.07,C57BL/6J,HF,F,03/24/2013,10/17/2013,Harvest,207,36.13,1.036,1.205,2.327,2.867,3.532,9.776,4.568,12.643
1261,1301,101713.08,C57BL/6J,HF,F,03/24/2013,10/17/2013,Harvest,207,31.83,0.766,0.897,1.499,2.407,2.396,7.527,3.162,9.934
2071,2071,042015.18,BXD73,HF,F,09/26/2014,04/20/2015,Harvest,206,24.28,0.2182,0.0531,0.4822,0.899,0.5353,2.205,0.754,3.103
1070,1070,101613.07,BXD68,HF,F,03/29/2013,10/16/2013,Harvest,201,30.23,0.712,0.547,1.31,2.355,1.857,6.143,2.569,8.498
1071,1071,101613.08,BXD34,HF,F,03/29/2013,10/16/2013,Harvest,201,35.42,1.411,0.967,1.956,3.984,2.923,8.252,4.334,12.236
2030,2030,042015.20,BXD32,HF,F,10/02/2014,04/20/2015,Harvest,200,30.9,0.4621,0.0993,0.9884,1.495,1.0877,3.520,1.550,5.016
2031,2031,042015.21,BXD32,HF,F,10/02/2014,04/20/2015,Harvest,200,35.7,0.8094,0.1635,1.8648,2.267,2.0283,5.682,2.838,7.949
624,624,090612.11,BXD74,HF,F,02/22/2012,09/06/2012,Harvest,197,31.8,0.6778,1.139,0.766,2.131,1.905,5.991,2.583,8.122
623,623,090612.12,BXD74,HF,F,02/22/2012,09/06/2012,Harvest,197,30.5,0.881,0.7095,1.8995,2.889,2.609,8.554,3.490,11.443
1055,1055,101513.03,BXD34,HF,F,04/01/2013,10/15/2013,Harvest,197,49.46,1.761,2.61,3.977,3.560,6.587,13.318,8.348,16.878
1056,1056,101513.04,BXD34,HF,F,04/01/2013,10/15/2013,Harvest,197,56.92,1.947,2.877,4.613,3.421,7.49,13.159,9.437,16.579
2056,2056,042415.01,BXD49,HF,F,10/16/2014,04/24/2015,Harvest,190,28.43,0.206,0.223,0.579,0.725,0.802,2.821,1.008,3.546
2057,2057,042415.02,BXD49,HF,F,10/16/2014,04/24/2015,Harvest,190,29.81,0.4203,0.0963,1.2078,1.410,1.3041,4.375,1.724,5.785
2046,2046,042015.24,BXD48,HF,F,10/13/2014,04/20/2015,Harvest,189,41.8,0.8299,0.0986,2.0358,1.985,2.1344,5.106,2.964,7.092
1721,1922,111414.03,BXD61,HF,F,05/10/2014,11/14/2014,Harvest,188,35.66,0.8388,0.5014,2.5109,2.352,3.0123,8.447,3.851,10.799
1722,1722,111414.04,BXD61,HF,F,05/10/2014,11/14/2014,Harvest,188,38.92,0.6958,0.8452,3.2383,1.788,4.0835,10.492,4.779,12.280
2053,2053,042015.26,BXD48,HF,F,10/14/2014,04/20/2015,Harvest,188,25.7,0.157,0.0352,0.3767,0.611,0.4119,1.603,0.569,2.214
1707,1707,111414.07,BXD65,HF,F,05/11/2014,11/14/2014,Harvest,187,45.88,1.1201,1.1958,3.3863,2.441,4.5821,9.987,5.702,12.429
1708,1708,111414.08,BXD65b,HF,F,05/11/2014,11/14/2014,Harvest,187,45.88,1.4885,1.9365,3.4341,3.244,5.3706,11.706,6.859,14.950
1715,1715,111414.09,BXD63,HF,F,05/12/2014,11/14/2014,Harvest,186,38.44,1.2419,1.4271,3.0868,3.231,4.5139,11.743,5.756,14.973
1716,1716,111414.10,BXD63,HF,F,05/12/2014,11/14/2014,Harvest,186,42.04,0.2524,0.1785,0.2218,0.600,0.4003,0.952,0.653,1.553
2124,2124,042415.05,BXD66,HF,F,10/22/2014,04/24/2015,Harvest,184,36.52,1.2754,0.8611,2.3664,3.492,3.2275,8.838,4.503,12.330
2125,2125,042415.06,BXD66,HF,F,10/22/2014,04/24/2015,Harvest,184,36.85,1.0152,0.6347,2.3214,2.755,2.9561,8.022,3.971,10.777
1360,1360,052814.03,BXD102,HF,F,11/28/2013,05/30/2014,Harvest,183,31.99,0.9555,0.8699,1.9768,2.987,2.8467,8.899,3.802,11.886
1361,1361,052814.04,BXD102,HF,F,11/28/2013,05/30/2014,Harvest,183,23.93,0.555,0.3693,0.8671,2.319,1.2364,5.167,1.791,7.486
1355,1355,050914.05,BXD99,HF,F,11/08/2013,05/09/2014,Harvest,182,36.29,1.1064,1.509,2.341,3.049,3.85,10.609,4.956,13.658
1356,1356,050914.06,BXD99,HF,F,11/08/2013,05/09/2014,Harvest,182,29.59,0.845,0.874,1.408,2.856,2.282,7.712,3.127,10.568
1681,1681,102414.06,C57BL/6J,HF,F,04/25/2014,10/24/2014,Harvest,182,30.89,0.837,0.709,2.017,2.710,2.726,8.825,3.563,11.534
1682,1682,102414.07,C57BL/6J,HF,F,04/25/2014,10/24/2014,Harvest,182,31.34,0.675,0.713,1.591,2.154,2.304,7.352,2.979,9.505
2349,2349,121515.05,BXD29,HF,F,06/16/2015,12/15/2015,Harvest,182,29.07,0.232,0.385,1.407,0.798,1.792,6.164,2.024,6.963
2350,2350,121515.06,BXD29,HF,F,06/16/2015,12/15/2015,Harvest,182,30.74,0.237,0.501,1.862,0.771,2.363,7.687,2.600,8.458
1688,1688,102414.10,BXD40,HF,F,04/27/2014,10/24/2014,Harvest,180,38.27,1.182,1.313,2.982,3.089,4.295,11.223,5.477,14.311
1689,1689,102414.11,BXD40,HF,F,04/27/2014,10/24/2014,Harvest,180,42.33,1.9,1.32,3.181,4.489,4.501,10.633,6.401,15.122
1683,1683,102414.13,BXD79,HF,F,04/30/2014,10/24/2014,Harvest,177,38.03,0.902,1.606,4.935,2.372,6.541,17.200,7.443,19.571
1684,1684,102414.14,BXD79,HF,F,04/30/2014,10/24/2014,Harvest,177,43.95,0.616,0.854,3.463,1.402,4.317,9.823,4.933,11.224
2084,2084,042415.11,BXD100,HF,F,10/30/2014,04/24/2015,Harvest,176,38.45,0.9156,0.4797,2.1551,2.381,2.6348,6.853,3.550,9.234
2085,2085,042415.12,BXD100,HF,F,10/30/2014,04/24/2015,Harvest,176,33.57,0.7751,0.4726,1.4508,2.309,1.9234,5.730,2.699,8.038
1687,1687,102414.12,BXD44,HF,F,05/03/2014,10/24/2014,Harvest,174,31.53,0.965,0.755,3.538,3.061,4.293,13.616,5.258,16.676
1712,1712,102414.17,BXD65b,HF,F,05/03/2014,10/24/2014,Harvest,174,45.76,1.2752,1.323,4.41,2.787,5.733,12.528,7.008,15.315
1713,1713,102414.18,BXD65,HF,F,05/03/2014,10/24/2014,Harvest,174,38.95,1.3893,0.7372,5.6148,3.567,6.352,16.308,7.741,19.875
1733,1733,111414.16,BXD79,HF,F,05/27/2014,11/14/2014,Harvest,171,37.88,0.1704,1.4783,3.7442,0.450,5.2225,13.787,5.393,14.237
