EarTagNumberOriginal,EarTagNumberCurrent,StrainNameCurrent,DietCode,Sex,AgeAtDeath,WeightBody,Glucose,TotalChol,Triglycerides,FFA
1722,1722,BXD61,HF,F,188,38.92,14.1,2.9,0.07,0.20
1721,1922,BXD61,HF,F,188,35.66,9.7,2.3,0.48,0.78
219,219,BXD61,HF,F,233,32.88,9.1,2.7,0.76,0.71
218,218,BXD61,HF,F,233,35.148,6.5,3,0.97,1
1435,1435,BXD62,HF,F,488,35.12,9.6,2.3,2.05,0.96
1208,1315,BXD62,HF,F,548,22.72,3.8,0.6,0.55,0.20
1434,1434,BXD62,HF,F,488,38.88,8.4,2.0,0.76,0.62
701,701,BXD62,HF,F,343,35.15,9.0,1.2,0.23,0.30
702,702,BXD62,HF,F,343,35.07,10.5,2.0,0.17,0.69
1715,1715,BXD63,HF,F,186,38.44,13.6,4.5,1.86,0.58
1716,1716,BXD63,HF,F,186,42.04,14.8,3.8,1.56,0.64
1416,1416,BXD63,HF,F,344,53.03,7.7,1.0,1.12,
1415,1751,BXD63,HF,F,344,59.91,12.1,3.8,0.29,0.54
475,475,BXD63,HF,F,216,34.96,11.4,2.6,0.65,0.58
474,474,BXD63,HF,F,216,33.401,5.7,0.8,0.86,
1200,1200,BXD64,HF,F,366,59.23,9.2,3.5,0.55,0.30
1201,1201,BXD64,HF,F,366,56.15,8.2,1.8,0.48,0.57
1286,1298,BXD65,HF,F,367,55.23,11.5,2.8,0.32,0.64
1285,1285,BXD65,HF,F,367,66.61,11.2,3.4,0.21,0.73
459,459,BXD65,HF,F,230,42.96,9.5,2.7,1.08,0.67
458,458,BXD65,HF,F,230,44.34,13.1,3.8,0.85,0.71
1707,1707,BXD65b,HF,F,187,45.88,14.5,3.6,0.29,0.40
1712,1712,BXD65b,HF,F,174,38.95,13.7,2.5,0.24,0.34
1713,1713,BXD65b,HF,F,174,22.93,9.9,1.2,0.15,0.37
1407,1407,BXD65b,HF,F,302,50,9.7,3.3,0.50,0.88
1708,1708,BXD65b,HF,F,187,45.88,15.1,3.5,0.29,0.32
1406,1406,BXD65b,HF,F,380,79.2,9.5,4.0,0.43,0.46
1597,1597,BXD65b,HF,F,415,59.86,12.4,0.3,1.13,0.56
1598,1598,BXD65b,HF,F,415,,8.8,2.1,0.73,0.48
2124,2124,BXD66,HF,F,184,36.52,7.0,3.7,0.91,1.14
223,223,BXD66,HF,F,359,57.1,13.9,2.7,0.98,0.45
2125,2125,BXD66,HF,F,184,36.85,7.0,2.9,0.54,0.67
221,221,BXD66,HF,F,359,48.4,15.6,4.1,0.62,0.79
1560,1560,BXD66,HF,F,367,53.39,8.6,1.6,0.61,
393,393,BXD67,HF,F,715,46.66,6.6,0.9,0.50,0.48
394,394,BXD67,HF,F,715,52.97,7.4,1.3,0.40,0.68
1070,1070,BXD68,HF,F,201,30.23,4.0,0.4,0.51,
1071,1071,BXD68,HF,F,201,35.42,10.7,2.3,0.03,0.49
1081,1081,BXD68,HF,F,545,55.5,8.3,0.6,0.58,
1082,1290,BXD68,HF,F,545,37.87,12.9,3.2,0.05,0.36
1087,1087,BXD69,HF,F,210,42.13,12.7,2.4,0.30,0.42
1088,1281,BXD69,HF,F,210,42.33,20.5,3.3,0.21,0.98
568,568,BXD69,HF,F,733,30.94,8.9,1.8,2.39,0.63
1328,1328,BXD69,HF,F,528,35.67,7.7,1.4,1.49,0.53
575,575,BXD69,HF,F,347,44.56,15.2,3.8,0.75,0.81
574,574,BXD69,HF,F,347,40.13,14.4,2.8,0.58,1.06
453,453,BXD70,HF,F,710,36.68,7.3,1.5,0.07,0.68
1509,1509,BXD70,HF,F,357,55.89,15.2,3.9,0.45,0.67
1508,1928,BXD70,HF,F,357,59.73,15.9,4.5,0.33,0.90
451,451,BXD70,HF,F,710,32.35,1.7,1.5,0.00,0.45
188,188,BXD70,HF,F,239,52.18,13.2,3.3,0.91,1.15
186,186,BXD70,HF,F,239,54.72,13.2,4.4,0.56,0.88
1862,1862,BXD73,HF,F,259,23.8,22.4,2.0,0.51,0.60
2071,2071,BXD73,HF,F,206,24.28,13.2,0.7,0.30,0.42
1447,1447,BXD73,HF,F,361,31.99,11.1,1.7,0.52,0.77
1448,1448,BXD73,HF,F,361,31.01,11.3,1.1,0.31,0.32
1544,1544,BXD73b,HF,F,474,50.84,12.9,2.5,0.67,0.84
782,782,BXD73b,HF,F,573,31,12.1,1.4,0.22,0.57
1545,1545,BXD73b,HF,F,474,41.27,13.7,1.9,0.59,0.76
1197,1197,BXD73b,HF,F,385,41.33,8.3,2.6,0.22,0.51
1198,1198,BXD73b,HF,F,385,35.03,4.8,1.3,0.68,0.50
1463,1463,BXD73b,HF,F,497,35.61,11.1,2.1,0.51,0.47
780,780,BXD73b,HF,F,573,31.64,8.0,1.3,0.48,0.46
1180,1180,BXD73b,HF,F,729,37.79,14.0,1.7,0.21,0.76
1330,1330,BXD73b,HF,F,516,27.27,7.2,1.3,0.53,0.49
1179,1179,BXD73b,HF,F,729,31.45,7.8,1.9,0.49,0.29
1329,1329,BXD73b,HF,F,516,27.41,5.8,0.9,0.33,0.35
183,183,BXD73b,HF,F,237,37.48,8.8,2,0.93,1.25
181,181,BXD73b,HF,F,237,26.83,8.8,2.4,0.45,0.83
623,623,BXD74,HF,F,197,30.5,11.4,1.3,0.42,0.24
624,624,BXD74,HF,F,197,31.8,12.3,0.5,0.69,0.28
1562,1562,BXD75,HF,F,367,27.31,11.3,3.0,0.19,0.34
1561,1561,BXD75,HF,F,367,31.09,11.3,3.0,0.23,0.24
145,145,BXD77,HF,F,353,33.9,13.2,3.7,0.23,0.23
328,328,BXD77,HF,F,723,63.35,9.2,1.8,0.40,0.13
330,330,BXD77,HF,F,723,45.46,12.8,2.1,0.38,0.86
147,147,BXD77,HF,F,353,43.5,8.5,1.3,0.26,0.07
1683,1683,BXD79,HF,F,177,38.03,16.0,2.2,0.53,0.55
1428,1781,BXD79,HF,F,303,39.86,12.5,1.5,0.26,0.46
1684,1684,BXD79,HF,F,177,43.95,12.8,1.5,0.28,0.27
1733,1733,BXD79,HF,F,171,37.88,14.5,3.1,0.48,0.56
582,582,BXD79,HF,F,571,55.97,10.8,1.4,0.31,0.46
583,583,BXD79,HF,F,571,41.9,12.7,1.6,0.70,0.44
239,239,BXD81,HF,F,237,21.75,13.2,3.3,1.08,0.89
237,237,BXD81,HF,F,237,24.53,12.1,3.4,0.73,0.83
560,560,BXD84,HF,F,343,43.14,11.9,3.8,1.60,0.85
559,559,BXD84,HF,F,343,46.1,10.7,4.1,1.18,0.71
1090,1090,BXD86,HF,F,360,52.67,14.7,3.4,0.39,0.66
1091,1091,BXD86,HF,F,360,51.18,18.3,3.4,0.10,0.54
241,241,BXD87,HF,F,241,27.66,10.2,2.9,0.63,0.85
243,243,BXD87,HF,F,241,34.91,12.7,2.8,1.19,1.11
547,547,BXD87,HF,F,359,38.47,8.1,1.1,0.33,0.55
548,548,BXD87,HF,F,359,27.03,12.5,2.6,0.34,0.96
178,178,BXD89,HF,F,352,29.4,16,2.5,0.43,0.42
179,179,BXD89,HF,F,352,38.6,11.6,2.3,0.28,0.36
1320,1320,BXD89,HF,F,539,45.57,12.3,1.6,0.15,0.40
1321,1321,BXD89,HF,F,539,46.04,10.6,1.5,0.08,0.33
177,177,BXD89,HF,F,243,34.21,10,1.8,0.58,0.8
176,176,BXD89,HF,F,243,36.39,7.7,1.8,0.63,0.87
368,368,BXD9,HF,F,349,66.7,10.7,4,0.36,0.36
370,370,BXD9,HF,F,347,58.3,14.1,3.8,0.42,0.46
1009,1009,BXD9,HF,F,548,64.44,11.6,2.5,0.23,0.43
1017,1017,BXD9,HF,F,557,60.33,8.9,2.0,0.47,0.48
1094,1094,BXD90,HF,F,218,36.36,14.6,2.6,0.47,0.41
1098,1098,BXD90,HF,F,343,65.56,13.4,2.9,0.53,0.82
1093,1093,BXD90,HF,F,218,42.16,15.5,3.4,0.10,0.77
1095,1095,BXD90,HF,F,723,38.9,14.8,2.5,0.10,0.28
1097,1097,BXD90,HF,F,343,45.43,10.0,1.5,0.54,0.55
737,737,BXD90,HF,F,570,54.46,14.3,2.2,0.56,1.07
736,736,BXD90,HF,F,570,57.88,13.7,3.7,1.05,1.13
881,881,BXD91,HF,F,562,68.1,14.7,3.5,0.33,0.61
1275,1275,BXD95,HF,F,213,41.1,14.5,3.9,0.21,0.48
1276,1276,BXD95,HF,F,213,43.35,7.6,0.6,1.00,
856,856,BXD95,HF,F,364,53.61,9.8,2.4,0.53,0.57
857,857,BXD95,HF,F,364,41.86,11.6,1.9,0.36,0.47
628,628,BXD98,HF,F,360,47.98,9.1,0.9,0.35,0.18
629,629,BXD98,HF,F,360,43.17,14.0,2.1,0.21,0.65
1356,1356,BXD99,HF,F,182,29.59,11.5,2.5,0.38,0.35
1355,1355,BXD99,HF,F,182,36.29,12.4,3.5,0.58,0.50
1260,1293,C57BL/6J,HF,F,207,36.13,10.3,1.5,0.66,
1261,1301,C57BL/6J,HF,F,207,31.83,20.1,3.1,0.32,0.88
1682,1682,C57BL/6J,HF,F,182,31.34,11.6,2.6,1.63,2.95
1681,1681,C57BL/6J,HF,F,182,30.89,14.3,1.9,0.83,1.95
521,521,C57BL/6J,HF,F,351,54.46,15.1,3.2,0.31,0.63
522,522,C57BL/6J,HF,F,351,25.95,11.9,2.3,0.54,0.77
516,516,C57BL/6J,HF,F,544,72.53,15.8,3.7,0.29,0.62
514,514,C57BL/6J,HF,F,544,76.17,12.9,4.8,0.62,0.74
1171,1171,D2B6F1,HF,F,371,59.34,13.2,4.2,0.14,0.48
1172,1304,D2B6F1,HF,F,371,58.8,9.2,0.7,0.97,
1150,1150,D2B6F1,HF,F,214,58.36,9.1,0.9,0.63,0.31
1149,1149,D2B6F1,HF,F,214,56.73,16.4,3.8,0.09,0.56
1442,1797,D2B6F1,HF,F,367,83.04,12.6,5.6,0.47,0.51
1163,1163,D2B6F1,HF,F,1114,85.32,8.9,2.1,0.61,0.69
643,643,D2B6F1,HF,F,540,90.5,16.1,2.4,0.66,0.46
642,642,D2B6F1,HF,F,540,54.94,11.2,2.2,0.43,0.55
1145,1145,DBA/2J,HF,F,212,37.29,12.1,1.8,0.69,0.76
1144,1144,DBA/2J,HF,F,212,38.91,3.9,0.3,0.89,
529,529,DBA/2J,HF,F,709,24.45,3.4,1.4,0.17,0.46
1142,1142,DBA/2J,HF,F,549,44.71,10.2,1.8,0.24,0.51
530,530,DBA/2J,HF,F,709,26.88,4.8,1.9,0.37,0.48
1143,1143,DBA/2J,HF,F,549,43.87,6.0,1.9,0.31,0.91
532,532,DBA/2J,HF,F,361,33.79,11.4,1.6,0.52,0.75
531,531,DBA/2J,HF,F,361,29.04,7.9,0.9,0.43,0.55
