Eartag,StrainNameCurrent,DietCode,Sex,AgeAtDeath,C-peptide 2,logCpeptide,GIP (total),IL-6,Insulin,logInsulin,Leptin,logLeptin,MCP-1/CCL-2,Secretin,PP,PYY,Resistin,TNF-alpha,HOMA-IR
1687,BXD44,HF,F,174,529.915,9.05,120.602,21.973,920.736,9.85,3636.298,11.83,102.963,48.72,26.7,65.161,13683.68,13.131,8.82
1712,BXD65b,HF,F,174,1721.692,10.75,265.525,172.994,1906.515,10.9,27045.957,14.72,403.754,29.346,79.554,80.218,57775.16,28.784,18.81
1683,BXD79,HF,F,177,1411.707,10.46,804.321,15.903,1077.476,10.07,32749.077,15,286.907,77.246,102.084,254.169,20807.191,24.058,12.41
1684,BXD79,HF,F,177,1193.054,10.22,150.484,100.609,2556.811,11.32,28490.529,14.8,128.441,32.173,75.717,316.336,161844.209,80.484,23.56
1688,BXD40,HF,F,180,4012.017,11.97,391.979,40.156,5430.998,12.41,NA,NA,573.876,35.475,141.743,402.786,86286.847,43.072,47.71
1689,BXD40,HF,F,180,1249.451,10.29,192.379,28.038,2200.316,11.1,27101.233,14.73,240.41,30.759,94.659,153.358,45528.602,18.964,20.75
1355,BXD99,HF,F,182,1450.911,10.5,121.644,70.404,3121.904,11.61,38349.517,15.23,96.864,45.404,171.332,365.934,86522.043,29.969,27.87
1356,BXD99,HF,F,182,1520.24,10.57,618.377,76.448,2065.244,11.01,13399.041,13.71,328.176,36.891,94.659,152.124,56274.843,29.969,17.1
1681,C57BL/6J,HF,F,182,584.997,9.19,123.209,76.448,628.074,9.29,30289.837,14.89,193.139,22.294,162.709,171.092,27508.524,37.697,6.47
1682,C57BL/6J,HF,F,182,46.558,5.54,9.301,15.903,127.965,7,158.262,7.31,NA,9.682,71.853,70.688,134.252,1.359,1.07
1361,BXD102,HF,F,183,851.444,9.73,120.602,293.43,1604.851,10.65,11213.982,13.45,25.147,26.522,98.381,305.17,32353.547,47.464,13.4
1713,BXD65b,HF,F,207,80.855,6.34,21.537,15.903,162.392,7.34,126.726,6.99,NA,11.542,31.102,31.765,2781.283,1.725,1.16
1918,BXD50,HF,F,361,505.796,8.98,109.679,9.825,1345.918,10.39,1483.357,10.53,114.643,4.596,109.435,175.333,68698.852,18.964,12.31
1919,BXD50,HF,F,361,738.083,9.53,143.115,52.261,1900.123,10.89,3215.158,11.65,36.298,7.828,81.462,111.823,41521.55,20.528,16.01
1560,BXD66,HF,F,367,660.099,9.37,42.027,52.261,1167.598,10.19,26260.674,14.68,201.757,13.405,56.084,31.765,14927.291,11.586,24.53
1797,D2B6F1,HF,F,367,2873.738,11.49,93.654,46.21,26162.885,14.68,NA,NA,494.584,18.076,71.853,90.919,61465.608,31.155,26.05
1756,BXD43,HF,F,367,1148.105,10.17,90.567,142.849,1861.693,10.86,31778.668,14.96,108.883,45.404,105.768,229.885,29710.088,99.376,7.23
1757,BXD43,HF,F,367,1361.038,10.41,198.785,40.156,2115.643,11.05,NA,NA,70.097,23.702,131.1,120.792,66572.059,24.451,12.06
1561,BXD75,HF,F,367,516.558,9.01,44.506,28.038,1481.714,10.53,279.665,8.13,25.147,5.978,79.554,152.124,27427.615,18.964,12.9
1562,BXD75,HF,F,367,677.602,9.4,26.352,58.311,1585.024,10.63,796.772,9.64,45.902,7.828,113.084,148.416,28480.56,22.487,NA
1501,BXD44,HF,F,379,572.02,9.16,33.166,46.21,2178.406,11.09,28252.192,14.79,45.902,25.582,71.853,144.694,82033.451,35.91,19.92
1502,BXD44,HF,F,379,2081.894,11.02,26.352,179.021,7038.34,12.78,NA,NA,54.568,19.949,79.554,129.038,82830.933,57.885,69.43
1360,BXD102,HF,F,415,846.677,9.73,349.566,142.849,1758.517,10.78,35310.536,15.11,96.864,35.947,120.335,168.662,59982.42,36.704,12.66
1186,BXD100,HF,F,537,1452.064,10.5,91.081,76.448,4298.721,12.07,NA,NA,131.109,35.003,90.916,215.848,86328.292,29.179,31.26
1187,BXD100,HF,F,537,426.817,8.74,2661.792,112.683,6488.932,12.66,NA,NA,10.285,281.879,102.084,1483.51,63000.643,48.264,58.87
1052,BXD34,HF,F,537,811.38,9.66,32.188,82.49,5708.133,12.48,16242.835,13.99,141.519,19.949,98.381,520.087,47307.391,2250.107,50.14
1053,BXD34,HF,F,537,1184.991,10.21,64.051,118.718,3923.649,11.94,41328.851,15.33,151.552,28.404,73.789,213.496,35603.152,20.919,26.56
1137,BXD32,HF,F,539,89.671,6.49,46.493,163.953,2001.989,10.97,174.185,7.44,84.028,8.754,105.768,284.925,34383.049,70.574,13.69
1320,BXD89,HF,F,539,1479.772,10.53,207.341,130.785,1521.887,10.57,NA,NA,195.312,27.463,206.935,371.385,20926.52,18.964,13.48
1321,BXD89,HF,F,539,1156.178,10.18,76.233,82.49,2077.86,11.02,29015.403,14.82,151.552,13.405,67.961,109.888,53330.727,8.894,15.86
1358,BXD102,HF,F,544,1255.203,10.29,80.827,166.967,3355.752,11.71,NA,NA,54.568,14.804,71.853,168.662,60176.768,18.183,27.3
